Time,P(ex),S,SB
46185,2.37611e-103,0.480454,0.250853
46290,2.48498e-103,0.623868,0.250853
46399,2.60328e-103,0.0114072,0.250853
46511,2.7307e-103,0.331474,0.250853
46617,2.85704e-103,0.436166,0.250853
46718,3.00072e-103,0.481987,0.250853
46821,3.11686e-103,0.913028,0.250853
46933,3.26942e-103,0.639211,0.250853
47038,3.41922e-103,0.264655,0.250853
47139,3.59117e-103,0.88452,0.250853
47244,3.73334e-103,0.769687,0.250853
47355,3.91441e-103,0.46098,0.250853
47463,4.09901e-103,0.700037,0.250853
47564,4.30515e-103,0.18133,0.250853
47677,4.49089e-103,0.221978,0.250853
47784,4.70067e-103,0.105674,0.250853
47896,4.93075e-103,0.377076,0.250853
48002,5.15887e-103,0.936156,0.250853
48113,5.40907e-103,0.528043,0.250853
48219,5.65932e-103,0.0350397,0.250853
48320,5.94393e-103,0.774121,0.250853
48435,6.20568e-103,0.349246,0.250853
48541,6.49278e-103,0.251049,0.250853
48648,6.79317e-103,0.90684,0.250853
48753,7.10746e-103,0.395035,0.250853
48854,7.42044e-103,0.0242564,0.250853
48955,7.7472e-103,0.318122,0.250853
49060,8.10216e-103,0.133461,0.250853
49161,8.50963e-103,0.0111346,0.250853
49264,8.83898e-103,0.165609,0.250853
49365,9.28349e-103,0.927089,0.250853
49471,9.65515e-103,0.91924,0.250853
49572,1.01364e-102,0.283652,0.250853
49677,1.05107e-102,0.100635,0.250853
49778,1.10724e-102,0.518171,0.250853
49879,1.15599e-102,0.0107979,0.250853
49980,1.2069e-102,0.899964,0.250853
50087,1.25575e-102,0.64251,0.250853
50188,1.31105e-102,0.969307,0.250853
50289,1.37639e-102,0.190164,0.250853
50390,1.43762e-102,0.374796,0.250853
50491,1.50028e-102,0.0163795,0.250853
50598,1.56168e-102,0.851805,0.250853
50699,1.64021e-102,0.81644,0.250853
50800,1.71098e-102,0.675649,0.250853
50907,1.78176e-102,0.686604,0.250853
51008,1.87136e-102,0.415862,0.250853
51109,1.95377e-102,0.257271,0.250853
51210,2.03893e-102,0.594882,0.250853
51317,2.12237e-102,0.945833,0.250853
51419,2.21677e-102,0.530349,0.250853
51521,2.31538e-102,0.77267,0.250853
51622,2.41734e-102,0.0931701,0.250853
51728,2.52917e-102,0.889044,0.250853
51843,2.65637e-102,0.249157,0.250853
51957,2.78877e-102,0.214898,0.250853
52069,2.92527e-102,0.993277,0.250853
52175,3.06061e-102,0.94952,0.250853
52281,3.2022e-102,0.620057,0.250853
52386,3.34893e-102,0.959728,0.250853
52493,3.50536e-102,0.297745,0.250853
52599,3.66753e-102,0.116969,0.250853
52701,3.83067e-102,0.480901,0.250853
52806,4.00619e-102,0.331433,0.250853
52912,4.19153e-102,0.0129779,0.250853
53023,4.39482e-102,0.773723,0.250853
53129,4.59814e-102,0.976671,0.250853
53234,4.80883e-102,0.268257,0.250853
53340,5.03131e-102,0.0264098,0.250853
53446,5.26408e-102,0.457009,0.250853
53552,5.50762e-102,0.359459,0.250853
53666,5.78213e-102,0.32112,0.250853
53767,6.03675e-102,0.0460376,0.250853
53872,6.31335e-102,0.830241,0.250853
53977,6.60262e-102,0.583387,0.250853
54083,6.90809e-102,0.924232,0.250853
54189,7.22769e-102,0.687321,0.250853
54301,7.58146e-102,0.479506,0.250853
54416,7.96274e-102,0.0151835,0.250853
54522,8.33113e-102,0.968863,0.250853
54627,8.71285e-102,0.0157343,0.250853
54737,9.13153e-102,0.74828,0.250853
54838,9.59075e-102,0.313853,0.250853
54945,9.97897e-102,0.971421,0.250853
55050,1.04362e-101,0.501748,0.250853
55155,1.09144e-101,0.258241,0.250853
55261,1.14193e-101,0.386135,0.250853
55367,1.19476e-101,0.723037,0.250853
55472,1.24951e-101,0.525189,0.250853
55577,1.30676e-101,0.446538,0.250853
55682,1.36663e-101,0.777804,0.250853
55787,1.42925e-101,0.946767,0.250853
55892,1.49473e-101,0.126174,0.250853
55997,1.56322e-101,0.922765,0.250853
56102,1.63484e-101,0.141387,0.250853
56209,1.71121e-101,0.0644284,0.250853
56314,1.78962e-101,0.92819,0.250853
56419,1.87161e-101,0.697361,0.250853
56524,1.95737e-101,0.318542,0.250853
56629,2.04705e-101,0.40861,0.250853
56734,2.14085e-101,0.066341,0.250853
56839,2.23894e-101,0.927534,0.250853
56949,2.34652e-101,0.925766,0.250853
57054,2.45404e-101,0.800073,0.250853
57159,2.56648e-101,0.616422,0.250853
57264,2.68407e-101,0.618867,0.250853
57369,2.80705e-101,0.876311,0.250853
57474,2.93567e-101,0.61426,0.250853
57579,3.07017e-101,0.341499,0.250853
57684,3.21085e-101,0.516029,0.250853
57789,3.35796e-101,0.547709,0.250853
57894,3.51182e-101,0.238615,0.250853
57999,3.67273e-101,0.0343043,0.250853
58104,3.84101e-101,0.186566,0.250853
58205,4.03417e-101,0.896612,0.250853
58310,4.19389e-101,0.719244,0.250853
58415,4.38604e-101,0.0954837,0.250853
58524,4.59484e-101,0.533818,0.250853
58631,4.80947e-101,0.938571,0.250853
58736,5.02984e-101,0.0594107,0.250853
58841,5.2603e-101,0.255608,0.250853
58951,5.51307e-101,0.661626,0.250853
59061,5.77798e-101,0.357865,0.250853
59166,6.04272e-101,0.869927,0.250853
59271,6.31959e-101,0.397032,0.250853
59376,6.60915e-101,0.511582,0.250853
59481,6.91197e-101,0.777294,0.250853
59587,7.23175e-101,0.720803,0.250853
59692,7.5631e-101,0.131734,0.250853
59797,7.90963e-101,0.107004,0.250853
59902,8.27204e-101,0.119384,0.250853
60007,8.65105e-101,0.548023,0.250853
60112,9.04743e-101,0.479135,0.250853
60218,9.46601e-101,0.4768,0.250853
60323,9.89973e-101,0.119444,0.250853
60428,1.03533e-100,0.751964,0.250853
60537,1.08462e-100,0.532208,0.250853
60642,1.13432e-100,0.0098756,0.250853
60748,1.18679e-100,0.418439,0.250853
60853,1.24117e-100,0.576428,0.250853
60958,1.29804e-100,0.696911,0.250853
61063,1.35752e-100,0.678752,0.250853
61168,1.41971e-100,0.618652,0.250853
61273,1.48476e-100,0.483421,0.250853
61378,1.55279e-100,0.575901,0.250853
61479,1.63019e-100,0.199693,0.250853
61584,1.69545e-100,0.0171008,0.250853
61689,1.77314e-100,0.742091,0.250853
61794,1.85438e-100,0.345643,0.250853
61895,1.94764e-100,0.532441,0.250853
61996,2.0334e-100,0.972005,0.250853
62101,2.1139e-100,0.705882,0.250853
62202,2.22021e-100,0.987819,0.250853
62307,2.30811e-100,0.965142,0.250853
62413,2.4149e-100,0.855809,0.250853
62518,2.52554e-100,0.937138,0.250853
62623,2.64126e-100,0.393669,0.250853
62728,2.76228e-100,0.749611,0.250853
62833,2.88884e-100,0.97178,0.250853
62938,3.02121e-100,0.626014,0.250853
63043,3.15963e-100,0.466111,0.250853
63148,3.3044e-100,0.223967,0.250853
63254,3.45728e-100,0.903515,0.250853
63359,3.61569e-100,0.29454,0.250853
63464,3.78136e-100,0.922648,0.250853
63569,3.95461e-100,0.339932,0.250853
63670,4.12876e-100,0.84644,0.250853
63775,4.31793e-100,0.526414,0.250853
63880,4.51577e-100,0.0607508,0.250853
63985,4.72268e-100,0.407309,0.250853
64090,4.93906e-100,0.870627,0.250853
64195,5.16537e-100,0.500494,0.250853
64300,5.40204e-100,0.310856,0.250853
64405,5.64955e-100,0.926924,0.250853
64510,5.90841e-100,0.67073,0.250853
64615,6.17912e-100,0.257998,0.250853
64720,6.46224e-100,0.778737,0.250853
64825,6.75833e-100,0.505922,0.250853
64930,7.06799e-100,0.850167,0.250853
65035,7.39183e-100,0.241046,0.250853
65140,7.73052e-100,0.140069,0.250853
65245,8.08472e-100,0.149695,0.250853
65347,8.44434e-100,0.854902,0.250853
65452,8.83124e-100,0.702597,0.250853
65557,9.23588e-100,0.813618,0.250853
65662,9.65906e-100,0.0052192,0.250853
65767,1.01016e-099,0.504222,0.250853
65872,1.05645e-099,0.164706,0.250853
65977,1.10485e-099,0.545459,0.250853
66082,1.15547e-099,0.282458,0.250853
66188,1.20893e-099,0.381169,0.250853
66293,1.26432e-099,0.953593,0.250853
66398,1.32225e-099,0.264727,0.250853
66506,1.37402e-099,0.324989,0.250853
66609,1.44681e-099,0.0750377,0.250853
66718,1.51569e-099,0.607904,0.250853
66823,1.58514e-099,0.546194,0.250853
66928,1.65777e-099,0.0201277,0.250853
